order_id,customer_id,city,state,pincode,correct_pincode,entered_address,corrected_address,correction_required,correction_type,correction_source,delivery_zone,address_accuracy_score,delivery_success,correction_timestamp,week_number,month,year
ORD000001,CUST00980,Nagpur,Gujarat,440001,440001,"852, Royal Chowk, Koramangala, Nagpur | State: Gujarat","852, Royal Chowk, Koramangala, Nagpur",True,Wrong City-State,Manual Review,Zone C,59.09,True,2024-08-17 07:34:00,33,8,2024
ORD000002,CUST02161,Bhopal,Madhya Pradesh,462001,462001,"926, Shanti Colony, Connaught Place, Bhopal","926, Shanti Colony, Connaught Place, Bhopal",False,None,None,Zone D,94.85,True,2024-05-24 12:32:00,21,5,2024
ORD000003,CUST00344,Nagpur,Maharashtra,440001,440001,"821, Royal Avenue, Whitefield, Nagpur (no landmark)","821, Royal Avenue, Whitefield, Nagpur",True,Missing Landmark,Customer Feedback,Zone B,71.64,True,2024-09-21 03:18:00,38,9,2024
ORD000004,CUST00966,Delhi,Delhi,110092,110092,"111, Blue Chowk, Vaishali Nagar, Mumbai","928, Royal Nagar, Tollygunge, Delhi",True,Duplicate Address,Customer Feedback,Zone D,82.91,True,2024-07-21 16:23:00,29,7,2024
ORD000005,CUST01176,Mumbai,Maharashtra,400069,400069,"230, Sunrise Colony, Adyar, Mumbai","230, Sunrise Colony, Adyar, Mumbai",False,None,None,Zone D,98.07,True,2024-03-15 04:02:00,11,3,2024
ORD000006,CUST02162,Lucknow,Uttar Pradesh,226001,226001,"778, Blue Chowk, Deccan, Lucknow","778, Blue Chowk, Deccan, Lucknow",True,Spelling Error,AI Model,Zone D,62.68,False,2024-10-07 23:38:00,41,10,2024
ORD000007,CUST02589,Pune,Maharashtra,411001,411001,"8489, Park Street, Gachibowli, Pune","244, Park Street, Gachibowli, Pune",True,Incorrect House Number,AI Model,Zone E,58.33,False,2024-11-01 17:01:00,44,11,2024
ORD000008,CUST03993,Ahmedabad,Rajasthan,380001,380001,"736, Royal Avenue, Banjara Hills, Ahmedabad | State: Rajasthan","736, Royal Avenue, Banjara Hills, Ahmedabad",True,Wrong City-State,Manual Review,Zone C,47.12,True,2024-12-08 02:33:00,49,12,2024
ORD000009,CUST00067,Mumbai,Maharashtra,400069,400069,"558, Sunrise Nagar, Dwarka, Mumbai","558, Sunrise Nagar, Dwarka, Mumbai",False,None,None,Zone C,88.52,True,2024-07-10 08:47:00,28,7,2024
ORD000010,CUST01387,Bhopal,Madhya Pradesh,462001,462001,"354, Shanti Street, Juhu, Bhopal","354, Shanti Street, Juhu, Bhopal",False,None,None,Zone B,96.82,True,2024-01-23 11:34:00,4,1,2024
ORD000011,CUST00826,Indore,Madhya Pradesh,452001,452001,"476, Blue Marg, Vaishali Nagar, Indore","476, Blue Marg, Vaishali Nagar, Indore",False,None,None,Zone A,88.76,True,2024-08-22 01:18:00,34,8,2024
ORD000012,CUST00150,Bhopal,Madhya Pradesh,462001,462001,"908, Sunrise Colony, Whitefield, Bhopal","908, Sunrise Colony, Whitefield, Bhopal",False,None,None,Zone B,94.18,False,2024-10-05 15:16:00,40,10,2024
ORD000013,CUST02033,Bengaluru,Tamil Nadu,560001,560001,"883, Sunrise Colony, OMR, Bengaluru | State: Tamil Nadu","883, Sunrise Colony, OMR, Bengaluru",True,Wrong City-State,Postal Database,Zone D,56.68,False,2024-07-16 10:11:00,29,7,2024
ORD000014,CUST01256,Bengaluru,Karnataka,560100,560100,"274, Dwarka, Bengaluru","274, Green Valley Nagar, Dwarka, Bengaluru",True,Missing Locality,GPS Verification,Zone D,48.81,True,2024-06-16 21:18:00,24,6,2024
ORD000015,CUST02612,Ahmedabad,Rajasthan,380059,380059,"171, Blue Colony, Behala, Ahmedabad | State: Rajasthan","171, Blue Colony, Behala, Ahmedabad",True,Wrong City-State,GPS Verification,Zone D,59.94,True,2024-01-30 02:42:00,5,1,2024
ORD000016,CUST01569,Bengaluru,Karnataka,560100,560100,"821, Royal Road, Rohini, Bengaluru (no landmark)","821, Royal Road, Rohini, Bengaluru",True,Missing Landmark,AI Model,Zone E,58.79,True,2024-11-26 11:23:00,48,11,2024
ORD000017,CUST03935,Mumbai,Maharashtra,400051,400051,"158, Blue Colony, Bodakdev, Mumbei","158, Blue Colony, Bodakdev, Mumbai",True,Spelling Error,Manual Review,Zone A,70.88,True,2024-11-28 08:15:00,48,11,2024
ORD000018,CUST00503,Mumbai,Maharashtra,400001,400001,"512, Golden Street","512, Golden Street, Koramangala, Mumbai",True,Incomplete Address,Postal Database,Zone B,46.44,False,2024-12-21 15:12:00,51,12,2024
ORD000019,CUST02907,Surat,Gujarat,395001,395001,"463, Royal Chowk, Juhu, Surat","463, Royal Chowk, Juhu, Surat",False,None,None,Zone A,97.73,True,2024-06-12 21:22:00,24,6,2024
ORD000020,CUST00498,Kolkata,West Bengal,700046,700046,"298, Park Marg, Karol Bagh, Kolkata","298, Park Marg, Karol Bagh, Kolkata",False,None,None,Zone B,99.13,True,2024-07-04 16:14:00,27,7,2024
ORD000021,CUST01267,Bhopal,Unknown State,462001,462001,"243, Blue Road, Deccan, Bhopal | State: Unknown State","243, Blue Road, Deccan, Bhopal",True,Wrong City-State,Postal Database,Zone D,54.11,True,2024-11-09 02:04:00,45,11,2024
ORD000022,CUST01909,Lucknow,Uttar Pradesh,226001,226001,"539, Golden Nagar, Connaught Place, Lucknow","539, Golden Nagar, Connaught Place, Lucknow",False,None,None,Zone E,88.89,False,2024-11-24 02:28:00,47,11,2024
ORD000023,CUST03881,Bengaluru,Karnataka,460100,560100,"900, Royal Marg, Deccan, Bengaluru","900, Royal Marg, Deccan, Bengaluru",True,Pincode Mismatch,Manual Review,Zone E,39.12,True,2024-12-29 07:22:00,52,12,2024
ORD000024,CUST00691,Vadodara,Gujarat,390001,390001,"867, Green Valley Rd., Gachibowli, Vadodara","867, Green Valley Avenue, Gachibowli, Vadodara",True,Street Name Error,Manual Review,Zone E,73.75,True,2024-02-17 16:41:00,7,2,2024
ORD000025,CUST02668,Ahmedabad,Gujarat,380001,380001,"176, Silver Road, Kalyani Nagar, Ahmedabad","176, Silver Road, Kalyani Nagar, Ahmedabad",False,None,None,Zone B,88.34,True,2024-11-24 18:16:00,47,11,2024
ORD000026,CUST03297,Patna,Bihar,800001,800001,"427, Sunrise Chowk, Satellite, Patna","427, Sunrise Chowk, Satellite, Patna",False,None,None,Zone D,94.55,True,2024-06-03 15:15:00,23,6,2024
ORD000027,CUST03008,Bengaluru,Karnataka,560001,560001,"75, Sunrise Marg, New Alipore, Bengaluru (no landmark)","75, Sunrise Marg, New Alipore, Bengaluru",True,Missing Landmark,Postal Database,Zone C,61.12,True,2024-06-09 22:20:00,23,6,2024
ORD000028,CUST03873,Hyderabad,Telangana,500001,500001,"779, Silver Street, Deccan, Hyderabad (no landmark)","779, Silver Street, Deccan, Hyderabad",True,Missing Landmark,AI Model,Zone D,63.02,True,2024-02-19 01:18:00,8,2,2024
ORD000029,CUST02109,Surat,Gujarat,395001,395001,"429, Shanti Marg, Prahlad Nagar, Surat","429, Shanti Marg, Prahlad Nagar, Surat",False,None,None,Zone D,99.21,True,2024-04-07 05:31:00,14,4,2024
ORD000030,CUST00200,Chennai,Tamil Nadu,600020,600020,"510, Sunrise Street, Kondapur, Chennai","510, Sunrise Street, Kondapur, Chennai",False,None,None,Zone A,94.07,True,2024-04-20 18:22:00,16,4,2024
ORD000031,CUST01641,Bengaluru,Karnataka,560001,560001,"612, Blue Avenue, Lajpat Nagar, Bangaluru","612, Blue Avenue, Lajpat Nagar, Bengaluru",True,Spelling Error,Manual Review,Zone A,81.47,True,2024-07-25 11:02:00,30,7,2024
ORD000032,CUST00528,Ahmedabad,Gujarat,380001,380001,"200, Silver Avenue, Navrangpura, Ahmedabad","200, Silver Avenue, Navrangpura, Ahmedabad",True,Street Name Error,GPS Verification,Zone A,63.39,False,2024-12-14 19:07:00,50,12,2024
ORD000033,CUST00160,Hyderabad,Telangana,500001,500001,"814, Silver Colony, Adyar, Hyderabad","814, Silver Colony, Adyar, Hyderabad",False,None,None,Zone B,90.39,True,2024-09-13 01:02:00,37,9,2024
ORD000034,CUST03452,Lucknow,Uttar Pradesh,226001,226001,"824, Blue Chowk, Velachery, Lucknow","824, Blue Chowk, Velachery, Lucknow",True,Street Name Error,Customer Feedback,Zone C,82.94,True,2024-07-20 19:47:00,29,7,2024
ORD000035,CUST02445,Ahmedabad,Gujarat,386001,380001,"520, Blue Avenue, Velachery, Ahmedabad","520, Blue Avenue, Velachery, Ahmedabad",True,Pincode Mismatch,AI Model,Zone D,59.4,True,2024-12-18 20:01:00,51,12,2024
ORD000036,CUST02789,Delhi,Delhi,110092,110092,"802, Civil Lines, Delhi","802, Shanti Road, Civil Lines, Delhi",True,Missing Locality,GPS Verification,Zone B,58.87,True,2024-07-13 04:52:00,28,7,2024
ORD000037,CUST02505,Mumbai,Gujarat,400051,400051,"971, Green Valley Lane, Satellite, Mumbai | State: Gujarat","971, Green Valley Lane, Satellite, Mumbai",True,Wrong City-State,Postal Database,Zone D,34.54,False,2024-07-29 16:49:00,31,7,2024
ORD000038,CUST02238,Surat,Gujarat,395001,395001,"723, Royal Lane, Dadar, Surat (no landmark)","723, Royal Lane, Dadar, Surat",True,Missing Landmark,GPS Verification,Zone C,66.3,False,2024-08-23 17:21:00,34,8,2024
ORD000039,CUST00850,Jaipur,Rajasthan,302017,302017,"565, Sunrise Nagar, Kondapur, Delhi","659, Park Chowk, Vaishali Nagar, Jaipur",True,Duplicate Address,GPS Verification,Zone D,63.95,False,2024-06-01 09:45:00,22,6,2024
ORD000040,CUST01179,Bengaluru,Karnataka,560040,560040,"358, Park Avenue, Connaught Place, Bengaluru","358, Park Avenue, Connaught Place, Bengaluru",True,Street Name Error,Postal Database,Zone A,79.55,False,2024-03-15 09:02:00,11,3,2024
ORD000041,CUST00981,Bengaluru,Karnataka,560100,560100,"672, Park Chowk, Tollygunge, Bengaluru","672, Park Chowk, Tollygunge, Bengaluru",True,Street Name Error,GPS Verification,Zone B,75.89,True,2024-11-11 23:37:00,46,11,2024
ORD000042,CUST00647,Mumbai,Maharashtra,400051,400051,"6411, Shanti Lane, Mansarovar, Mumbai","927, Shanti Lane, Mansarovar, Mumbai",True,Incorrect House Number,Postal Database,Zone D,58.02,False,2024-01-03 17:59:00,1,1,2024
ORD000043,CUST03614,Jaipur,Rajasthan,702001,302001,"489, Shanti Avenue, Connaught Place, Jaipur","489, Shanti Avenue, Connaught Place, Jaipur",True,Pincode Mismatch,GPS Verification,Zone B,52.16,False,2024-01-20 05:26:00,3,1,2024
ORD000044,CUST01862,Coimbatore,Tamil Nadu,641001,641001,"857, Golden Chowk","857, Golden Chowk, Borivali, Coimbatore",True,Incomplete Address,AI Model,Zone E,40.28,False,2024-02-24 10:18:00,8,2,2024
ORD000045,CUST01381,Kolkata,West Bengal,700001,700001,"911, Royal Chowk, Lajpat Nagar, Kolkatta","911, Royal Chowk, Lajpat Nagar, Kolkata",True,Spelling Error,Manual Review,Zone C,76.93,True,2024-04-05 00:47:00,14,4,2024
