city,delivery_zone,total_orders,corrections,pincode_mismatches,avg_accuracy,delivery_failures,correction_rate_pct,delivery_fail_rate_pct,hotspot_score,hotspot_rank,is_hotspot
Patna,Zone A,77,56,10,66.75,28,72.73,36.36,50.29,1,True
Nagpur,Zone E,66,45,2,71.14,24,68.18,36.36,47.59,2,True
Lucknow,Zone A,78,56,6,70.12,21,71.79,26.92,45.46,3,True
Delhi,Zone A,200,140,23,70.65,52,70.0,26.0,44.27,4,True
Bengaluru,Zone A,220,141,12,72.98,70,64.09,31.82,43.77,5,True
Vadodara,Zone B,71,47,4,70.37,20,66.2,28.17,43.67,6,True
Surat,Zone C,65,43,4,73.03,19,66.15,29.23,43.55,7,True
Hyderabad,Zone C,151,100,9,72.08,43,66.23,28.48,43.47,8,True
Ahmedabad,Zone E,145,100,11,71.29,36,68.97,24.83,43.26,9,True
Surat,Zone E,76,55,6,70.64,16,72.37,21.05,43.24,10,True
Kanpur,Zone B,72,44,9,73.07,24,61.11,33.33,43.16,11,True
Ahmedabad,Zone C,140,92,11,70.85,38,65.71,27.14,42.97,12,True
Ahmedabad,Zone D,142,95,12,71.77,37,66.9,26.06,42.83,13,True
Kolkata,Zone A,123,80,7,72.92,35,65.04,28.46,42.82,14,True
Coimbatore,Zone E,78,51,5,73.07,22,65.38,28.21,42.82,15,True
Mumbai,Zone D,177,118,12,72.76,46,66.67,25.99,42.51,16,True
Hyderabad,Zone D,140,92,12,70.82,36,65.71,25.71,42.4,17,True
Hyderabad,Zone A,141,96,13,71.54,33,68.09,23.4,42.29,18,True
Vadodara,Zone C,65,43,2,71.1,16,66.15,24.62,42.09,19,True
Coimbatore,Zone B,59,37,3,72.61,17,62.71,28.81,42.09,20,True
Bhopal,Zone E,57,37,8,69.08,14,64.91,24.56,41.97,21,True
Patna,Zone E,77,49,6,72.24,21,63.64,27.27,41.92,22,True
Bhopal,Zone C,57,40,7,70.0,11,70.18,19.3,41.79,23,True
Kolkata,Zone D,136,89,8,74.4,35,65.44,25.74,41.59,24,False
Bhopal,Zone A,69,44,6,72.55,18,63.77,26.09,41.43,25,False
Jaipur,Zone C,157,97,11,73.98,45,61.78,28.66,41.38,26,False
Indore,Zone E,75,46,5,74.62,22,61.33,29.33,41.34,27,False
Chennai,Zone E,137,88,8,73.0,35,64.23,25.55,41.31,28,False
Pune,Zone E,133,78,8,74.13,42,58.65,31.58,41.27,29,False
Bengaluru,Zone B,237,156,12,73.54,57,65.82,24.05,41.24,30,False
Surat,Zone D,79,50,4,74.23,21,63.29,26.58,41.1,31,False
Nagpur,Zone A,76,54,6,71.25,13,71.05,17.11,41.01,32,False
Coimbatore,Zone C,73,45,7,73.13,20,61.64,27.4,40.99,33,False
Kolkata,Zone B,127,84,4,71.9,28,66.14,22.05,40.9,34,False
Surat,Zone B,70,42,8,72.82,20,60.0,28.57,40.86,35,False
Jaipur,Zone D,154,99,17,71.3,36,64.29,23.38,40.81,36,False
Hyderabad,Zone B,122,76,8,75.25,33,62.3,27.05,40.69,37,False
Surat,Zone A,67,45,3,72.92,14,67.16,20.9,40.64,38,False
Jaipur,Zone B,156,98,10,74.1,40,62.82,25.64,40.56,39,False
Lucknow,Zone D,72,43,6,72.88,20,59.72,27.78,40.42,40,False
Delhi,Zone D,214,137,9,74.43,51,64.02,23.83,40.25,41,False
Bengaluru,Zone E,190,124,16,73.75,42,65.26,22.11,40.2,42,False
Delhi,Zone C,206,131,16,72.22,47,63.59,22.82,40.12,43,False
Coimbatore,Zone D,63,39,6,71.49,15,61.9,23.81,39.99,44,False
Bhopal,Zone B,77,48,5,74.21,19,62.34,24.68,39.97,45,False
Mumbai,Zone C,210,131,13,74.49,52,62.38,24.76,39.96,46,False
Pune,Zone D,148,96,12,71.8,31,64.86,20.95,39.96,47,False
Hyderabad,Zone E,152,95,10,73.1,36,62.5,23.68,39.85,48,False
Ahmedabad,Zone A,130,83,9,73.18,29,63.85,22.31,39.83,49,False
Pune,Zone B,133,84,11,72.93,30,63.16,22.56,39.7,50,False
Indore,Zone C,71,42,6,71.01,18,59.15,25.35,39.6,51,False
Indore,Zone A,64,42,6,74.34,13,65.62,20.31,39.5,52,False
Kolkata,Zone E,129,83,6,73.19,27,64.34,20.93,39.47,53,False
Chennai,Zone D,146,87,8,74.7,38,59.59,26.03,39.31,54,False
Mumbai,Zone B,220,131,17,72.79,55,59.55,25.0,39.26,55,False
Chennai,Zone B,136,83,6,74.95,33,61.03,24.26,39.13,56,False
Lucknow,Zone E,79,46,5,74.44,21,58.23,26.58,39.04,57,False
Chennai,Zone A,145,91,10,72.74,30,62.76,20.69,38.83,58,False
Kolkata,Zone C,134,84,8,74.35,28,62.69,20.9,38.57,59,False
Chennai,Zone C,129,77,6,75.98,31,59.69,24.03,38.29,60,False
Mumbai,Zone E,201,126,14,73.91,40,62.69,19.9,38.25,61,False
Mumbai,Zone A,200,121,16,74.37,43,60.5,21.5,37.93,62,False
Lucknow,Zone B,79,50,2,73.32,14,63.29,17.72,37.74,63,False
Bhopal,Zone D,80,45,8,74.2,20,56.25,25.0,37.66,64,False
Coimbatore,Zone A,61,39,5,72.42,10,63.93,16.39,37.64,65,False
Pune,Zone C,143,84,13,74.46,31,58.74,21.68,37.28,66,False
Delhi,Zone E,196,114,15,73.8,43,58.16,21.94,37.28,67,False
Bengaluru,Zone D,229,137,8,74.56,47,59.83,20.52,37.23,68,False
Ahmedabad,Zone B,145,87,11,74.09,29,60.0,20.0,37.18,69,False
Delhi,Zone B,225,141,21,74.26,39,62.67,17.33,37.15,70,False
Patna,Zone D,62,37,9,73.23,12,59.68,19.35,36.97,71,False
Kanpur,Zone C,74,40,4,75.79,19,54.05,25.68,36.73,72,False
Nagpur,Zone C,76,46,3,74.37,14,60.53,18.42,36.71,73,False
Vadodara,Zone E,75,46,3,73.81,13,61.33,17.33,36.7,74,False
Kanpur,Zone A,78,47,6,75.72,15,60.26,19.23,36.65,75,False
Indore,Zone B,72,42,2,75.25,15,58.33,20.83,36.61,76,False
Kanpur,Zone D,75,44,10,73.07,14,58.67,18.67,36.32,77,False
Jaipur,Zone E,130,79,2,74.32,21,60.77,16.15,35.9,78,False
Indore,Zone D,66,38,5,74.04,12,57.58,18.18,35.5,79,False
Patna,Zone C,71,40,3,74.86,14,56.34,19.72,35.45,80,False
Nagpur,Zone D,72,38,6,73.94,16,52.78,22.22,35.21,81,False
Jaipur,Zone A,125,73,11,75.32,21,58.4,16.8,35.02,82,False
Lucknow,Zone C,66,37,2,76.62,13,56.06,19.7,34.98,83,False
Vadodara,Zone A,69,37,6,76.47,15,53.62,21.74,34.85,84,False
Bengaluru,Zone C,192,101,16,76.04,43,52.6,22.4,34.79,85,False
Patna,Zone B,72,46,7,74.55,7,63.89,9.72,34.53,86,False
Kanpur,Zone E,76,38,4,75.25,18,50.0,23.68,34.42,87,False
Vadodara,Zone D,80,45,3,77.53,14,56.25,17.5,33.99,88,False
Nagpur,Zone B,80,47,5,74.31,10,58.75,12.5,33.64,89,False
Pune,Zone A,137,72,7,77.4,25,52.55,18.25,32.84,90,False
